airline_sentiment,text
negative,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
positive,@united thx for update
negative,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued)
negative,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
negative,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
negative,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
negative,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
negative,@united crashed trying to check in.
positive,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy."
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
negative,@united ua1673 still waiting! Supposed to depart 9:08
negative,@united it was credit from my last trip that never came in the mail!
negative,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
negative,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
negative,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
negative,@united how do I get my account number if your website says email is unavailable?
negative,"@united I received 1 bag last night, I am still missing the other one."
negative,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench."
negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
negative,@united but it's hard to stay upset at someone when they at least TRY to show remorse.
negative,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
negative,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.
negative,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you
negative,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine."
negative,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
negative,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
negative,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service"
negative,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better."
negative,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.
negative,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error
negative,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.
negative,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused"
negative,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
negative,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?
negative,@united Could this email be resent as it doesnt appear to have arrived.
negative,@united you have to follow me in order for me to DM...come on now
negative,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice"
negative,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....
negative,@united I did DM the details but still no response. I have to book today.
negative,@united not able to DM you my confirmation number
negative,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?"
negative,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!
positive,@united private jet would have been cool! Do does not work. I'll try again
negative,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!
negative,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
negative,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx"
negative,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know
positive,"@united thanks, just sent :)"
negative,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
negative,@united I'm so frustrated and nervous because of this.
negative,@united are the ones who make it difficult for me.
negative,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You
negative,@united how does it get Cancelled Flightled 10 hours before take off?
negative,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
negative,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?
negative,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
positive,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round"
negative,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
negative,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?
negative,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.
negative,@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The
negative,@united YOU GUYS ARE HORRIBLE.
positive,@united thnx for the info
negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
negative,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines"
positive,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...
negative,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel
negative,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC
negative,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
positive,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.
negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2)
negative,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
negative,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines
positive,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :)
negative,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out
negative,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage
negative,"@united according to your DMs, I'm not owed a refund. please may I be provided with a contact number before I go to my bank to file claim"
negative,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.
negative,@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr
negative,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....
positive,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.
negative,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN"
negative,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.
negative,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome
negative,"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines"
negative,@united how we looking on getting those bags to Lusaka
negative,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!
positive,@united thank you. Been trying for two days to set this up.
negative,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight
negative,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???
negative,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
positive,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer
positive,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care
positive,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!"
negative,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
negative,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
negative,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
negative,"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here."
negative,@united Thanks for the lack of help and the canned response from the 1K desk!
negative,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
negative,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
negative,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL
positive,@united you are one great airline ❤️
negative,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required
negative,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.
negative,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.
negative,@united okay ase24766m. Find our luggage.
negative,@united The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...
negative,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
negative,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!"
negative,@united what is that going to do for you? Nothing just like you always do
negative,@united plus what about food? And taxis?
negative,@united you are offering us 8 rooms for 32 people #FAIL
negative,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
negative,@united The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.
negative,@united I take back the comment about your team here working hard to help us A so far no solution for a hotel or food or anything #fail
negative,@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.
negative,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines
negative,"@united Thanks; might want to fix this line: ""Our Customer Care team is currently responding to most inquiries within 7-10 business days."""
positive,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!
negative,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket."
negative,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!"
negative,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6
negative,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier"
negative,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail
negative,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.
negative,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx
negative,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
negative,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.
negative,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights."
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
negative,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture
positive,@united But thanks for asking
negative,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
negative,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.
negative,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B
negative,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
positive,@united you too!
positive,@united is my favorite airline.
negative,@united seriously #fail on making strangers share a room
negative,@united we needed them here asap. Will they make it on today's flight?
negative,@united agent split up my reservation? Now can't Cancelled Flight and refund credit for 2wks? Why
negative,@united why would they make me share a room?
negative,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway"
negative,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?
negative,@united we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth
negative,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
negative,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please."
negative,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
negative,@united it's highly unprofessional for you to overbook a flight by 12 seats &amp;feel that I should rearrange my schedule for your mismanagement
negative,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'"
positive,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
negative,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like"
negative,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city
negative,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags."
negative,"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy"
negative,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
positive,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM
negative,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
negative,@united Your website deserves a new design. #html5 FTW!
negative,@united thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at @FlyYOW
negative,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.
negative,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.
negative,@united Not encouraged that I'll have my CPAP tonight.
negative,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery
negative,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??
negative,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!"
negative,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD."
negative,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable."
negative,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.
negative,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.
negative,@united UA938 ORD-LHR.  bags are being loaded 30min Late Flight. Frigid air into cabin! Plane feels like falling apart! Upgrade long haul fleet!
negative,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool"
negative,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?
negative,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.
negative,@united @AmericanAir spent hundreds to rectify the situation and you guys go quiet
negative,@united UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?
negative,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!
positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
positive,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA"
positive,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f
negative,@united I received my luggage that also looked to be left in the snow when I arrived. I'm asking for all 50 people to be refunded.
negative,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?
negative,@united was no one between the scan and inside the plane. I just asked the people in line around me where the plane was going
negative,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
negative,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.
negative,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!
negative,"@united Soooo, it's been 15 days and you've offered no response. So I assume poor treatment by gate agents is the norm now?"
positive,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.
negative,@united Calls to 800# resulted in 2hrs of hold time &amp; 2day wait to check suspect code share fare. Nothing investigated—my time wasted (2/2)
negative,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?"
positive,@united I appreciate your efforts getting me home!
negative,@united That's correct—I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2)
negative,@united Today was not your finest. All could have been prevented by one gate agent advising 200 passengers.
negative,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
negative,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.
negative,@united system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.
negative,@united lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
negative,"@united http://t.co/hj5kq82Chn, however, is completely under your control—the price was and still is displayed on http://t.co/hj5kq82Chn."
negative,@united can you tell me how to file a claim for clothing that had to be purchased?
negative,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board
negative,@united GRK13575M is the file reference
negative,@united we would...how do I contact you to discuss? A few poor experiences with customer service but would give it a shot!
negative,"@united UA 746. Pacific Rim and Date Night cut out. Not constantly or randomly, but one spot, repeatably."
negative,@united Been trying since 1230 to file a report.
negative,@united I send an email about my bad experience and you send back a generic response.  Yet another reason why I'll never fly with you again.
negative,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee
negative,"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat"
positive,@united thank you.
negative,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness."
negative,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?"
negative,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?
negative,@united wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime
negative,@united Dmed you. Thank you
positive,@united thanks we'll be in touch!
positive,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!
negative,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story"
positive,@united I left my comment with customer care. Thanks for contacting me.
negative,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.
negative,"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!"
positive,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain"
negative,@united Can you please follow for a Dm on a missing bag?
positive,@united These are great fares!!!!!
negative,@united i left an item on the plane and have been calling non stop and no one has been answering can you please help
positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
negative,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?
positive,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother
negative,@united where's my damn bag??
negative,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!
negative,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared
negative,@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook. #friendlyskies?
negative,@united @Apollochplayers we just want to go home tonight - why did you Cancelled Flight the last leg of our reserv. w/out our permission??! #PH6RPS
negative,@united  Stressed and rude agents. Overwhelmed by delyd flight LAS-DEN 1657. Yelling at several people. Not pretty. This is #friendlyskies??
negative,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.
negative,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS
negative,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.
negative,"@united also, the mere fact that I have to go online to issue a statement vice calling and talking to some directly is one good example."
positive,@united thank you. I flew into Newark from Vail/Eagle.
negative,@united  i have a weekend of dealing with your company that would say otherwise.
negative,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
negative,"@united the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how @Delta would handle."
negative,@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver
negative,@united So you are inadequate by accident?
positive,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3
positive,@united Thank you for responding so quickly with a helpful tool! @dustyob
negative,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN
negative,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR
negative,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd
negative,@united ...and when that doesn't work...
negative,@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.
negative,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags."
negative,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.
negative,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here
negative,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing.
negative,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!"
negative,@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.
positive,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.
negative,@united that is not in line with your responses here. And now I'm waiting until tomorrow morning because all the flights are overbooked.
negative,"@united I took the exact same aircraft in to LAX 3 days ago. It fit, no problem. The agent today told some nonsense about a policy change"
negative,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways
negative,@United never heard of this? http://t.co/QDebyaHqfM
negative,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?"
negative,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s
negative,@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.
positive,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
negative,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable
negative,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.
negative,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines"
negative,@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!
negative,@united should NOT sell tickets for @SilverAirways on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver
negative,"@united Just got demoted from Gold cuz my hubby got 100% of the PQD, tho there were enuf $ spent for 4 Golds.#spousal.discrimination/angry."
positive,@united Thank you!
positive,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0
negative,@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet
negative,@united Lovely new plane from LGA to ORD but no power outlets?
negative,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?"
negative,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!
negative,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet
negative,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you."
negative,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472
negative,@united I did... no response back
negative,@united this is atrocious customer service.
negative,@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice
negative,@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?
negative,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology
negative,@united of course I did. The bag should be here by now :( #frustrated
negative,@united you are the worst. I will avoid you like the plague.
negative,@united is the worst airline in the world.
negative,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.
negative,@united Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.
negative,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited"
negative,@united I will but right now I'm to angry
negative,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
negative,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail
negative,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair
negative,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around"
negative,@united I think DM would be better
negative,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
negative,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....
negative,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
negative,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..
negative,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
negative,@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst
negative,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
negative,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home
negative,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
negative,"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines."
negative,"@united Nope. Walked up &amp; down the ORF terminal, &amp; not a United agent to be found. Showed up @ last minute to board us. Many panicked people"
positive,@united thank you
negative,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.
negative,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted."
negative,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!
positive,@united he has no priority and Iove it
positive,@united Pleased to be a Premier Platinum
negative,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.
negative,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!"
negative,@united i think he actually did not like your screen  @campilley 😃😃😃
negative,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!
negative,@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService
